Broker Code,Order Time,Quantity,Limit Price,Symbol,Description,BuySell,Open Close,Commission,Fees,Trans Net Amt,Account,Trade Source,Basket,Nickname Code,CSA Commission,Underlying,Expiration Date,PutCall,Strike,Id
,1/2/2020 0:00,30,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,1145.54,account_1,Manual,,,,SPEM,,,,357094
,1/2/2020 0:00,-9,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 9 @,SELL,C,0,0.02,-1128.59,account_1,Manual,,,,MTUM,,,,357095
,1/2/2020 0:00,142,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,5422.24,account_2,Manual,,,,SPEM,,,,357096
,1/2/2020 0:00,-43,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 43 ,SELL,C,0,0.12,-5392.11,account_2,Manual,,,,MTUM,,,,357097
,1/2/2020 0:00,89,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,3398.45,account_3,Manual,,,,SPEM,,,,357098
,1/2/2020 0:00,-27,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 27 ,SELL,C,0,0.07,-3385.75,account_3,Manual,,,,MTUM,,,,357099
,1/2/2020 0:00,33,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,1260.1,account_4,Manual,,,,SPEM,,,,357100
,1/2/2020 0:00,-10,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 10 ,SELL,C,0,0.03,-1253.98,account_4,Manual,,,,MTUM,,,,357101
,1/2/2020 0:00,-461,34.6899,PLW,|INVESCO EXCHANGE TRADED FUND T 1 30 LADER TRE ETF,SELL,C,0,0.38,-15991.66,account_5,Manual,,,,PLW,,,,357102
,1/2/2020 0:00,369,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,14090.19,account_5,Manual,,,,SPEM,,,,357103
,1/2/2020 0:00,6,0.34,EFA200320P65,|ISHARES TRUST EFA MAR 20 20 65.0 P  BUY TRADE 6 @,BUY,C,0,0.1,204.1,account_5,Manual,,,,EFA,3/20/2020 0:00,P,65,357104
,1/2/2020 0:00,5,0.44,EEM200320C48,|ISHARES TRUST EEM MAR 20 20 48.0 C  BUY TRADE 5 @,BUY,C,0,0.08,220.08,account_5,Manual,,,,EEM,3/20/2020 0:00,C,48,357105
,1/2/2020 0:00,1061,15.075,PGX,|INVESCO EXCHANGE TRADED FUND T PFD ETF BUY TRADE ,BUY,O,0,0,15994.58,account_5,Manual,,,,PGX,,,,357106
,1/2/2020 0:00,13,0.25,EEM200320P41,|ISHARES TRUST EEM MAR 20 20 41.0 P  BUY TRADE 13 ,BUY,C,0,0.22,325.22,account_5,Manual,,,,EEM,3/20/2020 0:00,P,41,357107
,1/2/2020 0:00,-112,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 112,SELL,C,0,0.3,-14044.59,account_5,Manual,,,,MTUM,,,,357108
,1/2/2020 0:00,-7,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 7 @,SELL,C,0,0.02,-877.79,account_6,Manual,,,,MTUM,,,,357109
,1/2/2020 0:00,23,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,878.25,account_6,Manual,,,,SPEM,,,,357110
,1/2/2020 0:00,-140,125.4008,MTUM,|ISHARES TRUST USA MOMENTUM FCT ETF SELL TRADE 140,SELL,C,0,0.38,-17555.73,account_7,Manual,,,,MTUM,,,,357111
,1/2/2020 0:00,10,0.34,EFA200320P65,|ISHARES TRUST EFA MAR 20 20 65.0 P  BUY TRADE 10 ,BUY,C,0,0.17,340.17,account_7,Manual,,,,EFA,3/20/2020 0:00,P,65,357112
,1/2/2020 0:00,461,38.1848,SPEM,|SPDR INDEX SHARES FUNDS PORTFOLIO EMG MK ETF BUY ,BUY,O,0,0,17603.19,account_7,Manual,,,,SPEM,,,,357113
,1/2/2020 0:00,6,0.44,EEM200320C48,|ISHARES TRUST EEM MAR 20 20 48.0 C  BUY TRADE 6 @,BUY,C,0,0.1,264.1,account_7,Manual,,,,EEM,3/20/2020 0:00,C,48,357114
,1/2/2020 0:00,16,0.25,EEM200320P41,|ISHARES TRUST EEM MAR 20 20 41.0 P  BUY TRADE 16 ,BUY,C,0,0.27,400.27,account_7,Manual,,,,EEM,3/20/2020 0:00,P,41,357115
DASH,1/2/2020 12:14,-531,60.97,XLB,Sell Close Equity With DASH,Sell,Close,2.66,0,-32372.41,account_8,TRAFFIX,,,0,XLB,,,,357081
DASH,1/2/2020 12:14,-599,53.9,XLC,Sell Close Equity With DASH,Sell,Close,3,0,-32283.1,account_8,TRAFFIX,,,0,XLC,,,,357082
DASH,1/2/2020 12:14,-570,60.54,XLE,Sell Close Equity With DASH,Sell,Close,2.85,0,-34504.95,account_8,TRAFFIX,,,0,XLE,,,,357083
DASH,1/2/2020 12:14,-876,30.96,XLF,Sell Close Equity With DASH,Sell,Close,4.38,0,-27116.58,account_8,TRAFFIX,,,0,XLF,,,,357084
DASH,1/2/2020 12:14,-381,82.25,XLI,Sell Close Equity With DASH,Sell,Close,1.91,0,-31335.34,account_8,TRAFFIX,,,0,XLI,,,,357085
DASH,1/2/2020 12:14,-342,92.78,XLK,Sell Close Equity With DASH,Sell,Close,1.71,0,-31729.05,account_8,TRAFFIX,,,0,XLK,,,,357086
DASH,1/2/2020 12:14,-501,62.43,XLP,Sell Close Equity With DASH,Sell,Close,2.51,0,-31274.92,account_8,TRAFFIX,,,0,XLP,,,,357087
DASH,1/2/2020 12:14,-149,38.11,XLRE,Sell Close Equity With DASH,Sell,Close,0.75,0,-5677.64,account_8,TRAFFIX,,,0,XLRE,,,,357088
DASH,1/2/2020 12:14,-488,63.73,XLU,Sell Close Equity With DASH,Sell,Close,2.44,0,-31097.8,account_8,TRAFFIX,,,0,XLU,,,,357089
DASH,1/2/2020 12:14,-300,101.55,XLV,Sell Close Equity With DASH,Sell,Close,1.5,0,-30463.5,account_8,TRAFFIX,,,0,XLV,,,,357090
DASH,1/2/2020 12:14,-241,125.98,XLY,Sell Close Equity With DASH,Sell,Close,1.21,0,-30359.97,account_8,TRAFFIX,,,0,XLY,,,,357091
DASH,1/2/2020 12:14,-1,222.3,SPX211217P3050,Sell Close Option With DASH,Sell,Close,1,0,-22229,account_8,TRAFFIX,,,0,SPX,12/17/2021 0:00,P,3050,357080
DASH,1/2/2020 12:14,-1,178.2,SPX211217C3450,Sell Close Option With DASH,Sell,Close,1,0,-17819,account_8,TRAFFIX,,,0,SPX,12/17/2021 0:00,C,3450,357092
DASH,1/2/2020 12:14,1,59.85,SPX211217C3800,Buy Close Option With DASH,Buy,Close,1,0,5986,account_8,TRAFFIX,,,0,SPX,12/17/2021 0:00,C,3800,357093
JSEB,1/2/2020 15:34,2389,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,1194.5,0,84809.5,account_9,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357042
JSEB,1/2/2020 15:34,23,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,11.5,0,816.5,account_10,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357043
JSEB,1/2/2020 15:34,122,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,61,0,4331,account_11,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357044
JSEB,1/2/2020 15:34,330,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,165,0,11715,account_12,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357045
JSEB,1/2/2020 15:34,194,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,97,0,6887,account_8,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357046
JSEB,1/2/2020 15:34,133,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,66.5,0,4721.5,account_13,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357047
JSEB,1/2/2020 15:34,164,0.35,EFA200320P65,Buy Close Option With JSEB,Buy,Close,82,0,5822,account_14,TRAFFIX,BASKETII,,0,EFA,3/20/2020 0:00,P,65,357048
